# File Name: D:\QS6 Results\BWS_QS6_METHYLATION_2135_031325_20250313_132035.eds
# Comment: 
# Operator: Admin
# Barcode: 
# Instrument Type: QuantStudio™ 6 Pro System
# Block Type: 384-Well Block
# Instrument Name: Naga
# Instrument Serial Number: 2778620090015
# Heated Cover Serial Number: 2779320070495
# Block Serial Number: 2778320080534
# Run Start Date/Time: 2025-03-13 01:20:59 PM EDT
# Run End Date/Time: 2025-03-13 03:57:24 PM EDT
# Run Duration: 156 minutes 24 seconds
# Sample Volume: 10.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Quantification Cycle Method: CT
# Analysis Date/Time: 2025-03-13 03:57:38 PM EDT
# Software Name and Version: Design & Analysis Software v2.6.0
# Plugin Name and Version: Primary Analysis v1.7.0, Relative Quantification v1.5.0
# Exported On: 2025-03-15 08:12:04 PM EDT
"Sample","Target","EqCq Mean","Adjusted EqCq Mean","Delta EqCq Mean","Delta EqCq SD","Delta EqCq SE","Delta Delta EqCq","Rq","Rq Min","Rq Max","Omit"
"BWR-5959-QA","ICR2_UM","26.005119500856082","","","","","","","","","false"
"BWR-5963-QA","ICR1_M","29.21978865455417","","-0.34604868965986313","0.05710109790688338","0.02855054895344169","0.6332409181767842","0.6447264523361822","0.5956583067815271","0.6978366516669059","false"
"BWR-5963-QA","ICR1_UM","29.56583734421403","","","","","","","","","false"
"BWR-5963-QA","ICR2_M","27.706184672794187","","","","","","","","","false"
"BWR-5963-QA","ICR2_UM","27.64844837090174","","","","","","","","","false"
"BWR-5964-QA","ICR1_M","28.05230235440663","","-0.6203197180881288","0.08448533344056432","0.04224266672028216","0.3589698897485185","0.7797211158729775","0.6935440600760621","0.8766061935149797","false"
"BWR-5964-QA","ICR1_UM","28.67262207249476","","","","","","","","","false"
"BWR-5964-QA","ICR2_M","26.415411451781786","","","","","","","","","false"
"BWR-5964-QA","ICR2_UM","26.3720496852674","","","","","","","","","false"
"Control A","ICR1_M","29.213624413414983","","-0.8182054991080907","0.19796607120615742","0.09898303560307871","0.1610841087285566","0.8943527597400049","0.6797064644026745","1.1767827742487125","false"
"Control A","ICR1_UM","30.031829912523072","","","","","","","","","false"
"Control A","ICR2_M","27.541027992455074","","","","","","","","","false"
"Control A","ICR2_UM","27.699489624628363","","","","","","","","","false"
"Control B","ICR1_M","28.826054637387415","","-0.9792896078366473","0.14077428437716236","0.07038714218858118","0.0","1.0","0.8227074604292179","1.2154988839876157","false"
"Control B","ICR1_UM","29.80534424522406","","","","","","","","","false"
"Control B","ICR2_M","27.30460002347685","","","","","","","","","false"
"Control B","ICR2_UM","27.386235656630564","","","","","","","","","false"
"Control C","ICR1_M","28.991652004731062","","-0.7768874747591097","0.04660500329268977","0.023302501646344884","0.20240213307753763","0.8691022750084231","0.8147265682229449","0.9271070735698934","false"
"Control C","ICR1_UM","29.768539479490173","","","","","","","","","false"
"Control C","ICR2_M","27.48275468257596","","","","","","","","","false"
"Control C","ICR2_UM","27.567864461028204","","","","","","","","","false"
"Control D","ICR1_M","28.64138672437378","","-0.8134321671715155","0.10666965966943986","0.05333482983471993","0.16585744066513186","0.8913985747396801","0.7688655478005297","1.0334595187949265","false"
"Control D","ICR1_UM","29.454818891545298","","","","","","","","","false"
"Control D","ICR2_M","27.105958340785527","","","","","","","","","false"
"Control D","ICR2_UM","27.093845212241074","","","","","","","","","false"
"Control E","ICR1_M","28.351879802519758","","-0.8752853722352345","0.17582350681849068","0.08791175340924534","0.10400423560141281","0.9304469260043625","0.729180937101294","1.1872656539164366","false"
"Control E","ICR1_UM","29.227165174754994","","","","","","","","","false"
"Control E","ICR2_M","26.729394980966294","","","","","","","","","false"
"Control E","ICR2_UM","26.84110152322991","","","","","","","","","false"
"Control F","ICR1_M","28.853764881175746","","-0.7968274013701473","0.16349266791143977","0.08174633395571988","0.18246220646650002","0.8811977970758472","0.7024913945634019","1.105365223803099","false"
"Control F","ICR1_UM","29.650592282545894","","","","","","","","","false"
"Control F","ICR2_M","27.19465077930226","","","","","","","","","false"
"Control F","ICR2_UM","27.124792512554528","","","","","","","","","false"
"HELA","ICR1_M","30.343874529240814","","","","","","","","","false"
"HELA","ICR1_UM","","","","","","","","","","false"
"HELA","ICR2_M","27.86117226012184","","","","","","","","","false"
"HELA","ICR2_UM","33.185299478688925","","","","","","","","","false"
